t,p,tf,noise_percentage
13,13,1,70
2,4,0,70
13,5,0,70
0,0,1,70
11,12,0,70
14,11,0,70
9,4,0,70
1,1,1,70
2,12,0,70
7,11,0,70
4,4,1,70
14,14,1,70
5,1,0,70
11,11,1,70
11,11,1,70
5,12,0,70
3,3,1,70
9,12,0,70
12,12,1,70
1,12,0,70
14,1,0,70
7,7,1,70
2,4,0,70
12,12,1,70
8,4,0,70
0,1,0,70
13,13,1,70
3,1,0,70
12,12,1,70
13,4,0,70
0,1,0,70
6,12,0,70
0,0,1,70
3,4,0,70
14,14,1,70
11,12,0,70
3,4,0,70
0,0,1,70
4,4,1,70
8,12,0,70
7,12,0,70
4,4,1,70
9,12,0,70
6,4,0,70
10,12,0,70
4,4,1,70
1,1,1,70
1,1,1,70
1,1,1,70
0,1,0,70
7,12,0,70
5,4,0,70
13,5,0,70
6,12,0,70
9,1,0,70
14,4,0,70
5,1,0,70
1,1,1,70
7,12,0,70
0,0,1,70
7,4,0,70
5,4,0,70
3,12,0,70
10,4,0,70
8,4,0,70
13,5,0,70
1,1,1,70
12,12,1,70
14,14,1,70
13,5,0,70
10,12,0,70
11,12,0,70
3,1,0,70
9,12,0,70
8,4,0,70
8,4,0,70
6,12,0,70
12,12,1,70
14,1,0,70
13,13,1,70
3,12,0,70
11,4,0,70
1,1,1,70
11,1,0,70
1,1,1,70
1,1,1,70
11,4,0,70
14,14,1,70
10,12,0,70
6,4,0,70
12,12,1,70
7,12,0,70
2,12,0,70
4,4,1,70
1,1,1,70
12,12,1,70
7,7,1,70
0,1,0,70
8,4,0,70
2,0,0,70
3,4,0,70
14,14,1,70
13,0,0,70
12,12,1,70
12,4,0,70
9,12,0,70
4,4,1,70
0,0,1,70
7,12,0,70
9,12,0,70
0,14,0,70
2,9,0,70
13,13,1,70
1,1,1,70
4,4,1,70
6,12,0,70
5,4,0,70
7,7,1,70
11,4,0,70
9,12,0,70
9,12,0,70
2,2,1,70
14,12,0,70
7,12,0,70
2,14,0,70
14,4,0,70
2,2,1,70
14,14,1,70
5,12,0,70
14,4,0,70
5,12,0,70
7,12,0,70
14,14,1,70
6,12,0,70
6,12,0,70
12,12,1,70
4,4,1,70
3,3,1,70
6,12,0,70
10,1,0,70
11,4,0,70
10,12,0,70
14,14,1,70
11,4,0,70
9,12,0,70
1,1,1,70
12,12,1,70
12,12,1,70
1,1,1,70
12,12,1,70
1,12,0,70
10,4,0,70
13,14,0,70
0,0,1,70
10,12,0,70
1,1,1,70
8,4,0,70
4,4,1,70
5,12,0,70
3,12,0,70
6,12,0,70
2,12,0,70
0,12,0,70
4,4,1,70
14,14,1,70
14,14,1,70
14,14,1,70
9,1,0,70
0,14,0,70
4,4,1,70
1,1,1,70
1,1,1,70
3,12,0,70
1,1,1,70
9,12,0,70
12,12,1,70
6,12,0,70
11,4,0,70
5,12,0,70
7,12,0,70
7,11,0,70
4,4,1,70
11,8,0,70
12,12,1,70
6,12,0,70
13,13,1,70
7,11,0,70
0,0,1,70
4,4,1,70
12,12,1,70
3,12,0,70
9,12,0,70
3,1,0,70
5,4,0,70
2,13,0,70
4,4,1,70
7,13,0,70
0,0,1,70
4,1,0,70
8,1,0,70
1,1,1,70
11,4,0,70
3,12,0,70
9,12,0,70
10,12,0,70
10,12,0,70
7,12,0,70
5,1,0,70
0,0,1,70
11,12,0,70
10,4,0,70
4,4,1,70
10,14,0,70
8,4,0,70
2,4,0,70
11,4,0,70
5,1,0,70
11,4,0,70
3,12,0,70
10,12,0,70
10,12,0,70
2,4,0,70
4,4,1,70
13,13,1,70
11,12,0,70
12,12,1,70
12,12,1,70
9,12,0,70
4,4,1,70
9,12,0,70
12,12,1,70
12,12,1,70
10,4,0,70
3,12,0,70
6,12,0,70
11,1,0,70
13,13,1,70
6,12,0,70
4,4,1,70
11,1,0,70
8,1,0,70
6,12,0,70
6,12,0,70
5,12,0,70
8,1,0,70
4,4,1,70
8,4,0,70
14,14,1,70
4,4,1,70
8,1,0,70
10,12,0,70
11,11,1,70
5,1,0,70
1,1,1,70
14,14,1,70
9,4,0,70
0,0,1,70
7,12,0,70
3,3,1,70
6,12,0,70
8,12,0,70
0,4,0,70
4,4,1,70
5,1,0,70
14,14,1,70
2,4,0,70
1,4,0,70
13,4,0,70
13,13,1,70
4,4,1,70
5,12,0,70
11,4,0,70
3,12,0,70
11,1,0,70
7,12,0,70
10,12,0,70
6,12,0,70
5,4,0,70
3,12,0,70
10,1,0,70
10,12,0,70
0,5,0,70
3,1,0,70
14,14,1,70
14,1,0,70
9,1,0,70
10,12,0,70
9,12,0,70
3,4,0,70
7,12,0,70
8,4,0,70
13,5,0,70
9,0,0,70
1,12,0,70
8,1,0,70
6,12,0,70
4,4,1,70
0,12,0,70
6,12,0,70
11,11,1,70
10,12,0,70
2,4,0,70
11,8,0,70
12,12,1,70
2,2,1,70
2,12,0,70
14,12,0,70
3,1,0,70
5,4,0,70
4,4,1,70
5,5,1,70
13,4,0,70
4,4,1,70
9,12,0,70
1,1,1,70
3,12,0,70
3,12,0,70
13,13,1,70
0,12,0,70
7,12,0,70
2,12,0,70
9,1,0,70
14,14,1,70
11,4,0,70
6,11,0,70
1,1,1,70
7,12,0,70
10,4,0,70
6,12,0,70
11,1,0,70
9,1,0,70
7,1,0,70
6,12,0,70
1,1,1,70
10,12,0,70
0,0,1,70
11,1,0,70
1,1,1,70
8,4,0,70
12,12,1,70
14,14,1,70
13,0,0,70
5,12,0,70
6,12,0,70
5,5,1,70
10,4,0,70
7,12,0,70
11,1,0,70
10,12,0,70
3,12,0,70
4,1,0,70
8,1,0,70
5,12,0,70
10,12,0,70
5,12,0,70
8,8,1,70
0,1,0,70
10,4,0,70
7,12,0,70
8,12,0,70
10,12,0,70
0,0,1,70
7,12,0,70
12,12,1,70
4,4,1,70
1,1,1,70
0,5,0,70
0,5,0,70
0,12,0,70
12,4,0,70
6,12,0,70
9,12,0,70
9,12,0,70
10,4,0,70
14,14,1,70
8,4,0,70
14,14,1,70
2,4,0,70
13,5,0,70
4,4,1,70
3,12,0,70
1,1,1,70
5,4,0,70
0,0,1,70
4,4,1,70
7,12,0,70
4,4,1,70
2,2,1,70
3,12,0,70
12,12,1,70
8,4,0,70
3,1,0,70
13,5,0,70
2,4,0,70
8,5,0,70
14,14,1,70
4,4,1,70
12,12,1,70
0,1,0,70
7,12,0,70
3,4,0,70
5,5,1,70
4,4,1,70
10,12,0,70
3,12,0,70
1,1,1,70
10,12,0,70
6,12,0,70
11,4,0,70
11,4,0,70
5,5,1,70
11,4,0,70
6,14,0,70
5,5,1,70
5,1,0,70
6,1,0,70
2,4,0,70
7,12,0,70
6,4,0,70
2,0,0,70
8,4,0,70
9,1,0,70
0,0,1,70
1,1,1,70
12,12,1,70
13,5,0,70
3,1,0,70
13,5,0,70
2,2,1,70
7,12,0,70
5,12,0,70
2,12,0,70
4,4,1,70
9,12,0,70
11,4,0,70
13,13,1,70
5,1,0,70
2,12,0,70
8,1,0,70
11,11,1,70
12,12,1,70
14,12,0,70
7,7,1,70
14,11,0,70
6,12,0,70
8,4,0,70
3,12,0,70
10,12,0,70
14,5,0,70
13,5,0,70
11,4,0,70
1,1,1,70
10,12,0,70
8,1,0,70
13,5,0,70
4,4,1,70
1,1,1,70
14,4,0,70
4,4,1,70
10,4,0,70
7,7,1,70
7,12,0,70
1,1,1,70
2,4,0,70
10,12,0,70
4,4,1,70
13,1,0,70
3,12,0,70
12,12,1,70
14,11,0,70
10,12,0,70
9,12,0,70
9,4,0,70
9,12,0,70
4,4,1,70
14,12,0,70
10,12,0,70
13,5,0,70
1,1,1,70
1,1,1,70
14,14,1,70
12,12,1,70
12,12,1,70
8,12,0,70
11,4,0,70
13,13,1,70
6,12,0,70
0,0,1,70
1,1,1,70
8,1,0,70
2,13,0,70
8,4,0,70
2,2,1,70
12,12,1,70
12,12,1,70
1,1,1,70
11,1,0,70
12,4,0,70
10,12,0,70
9,12,0,70
8,1,0,70
0,0,1,70
8,8,1,70
6,12,0,70
12,12,1,70
0,1,0,70
6,12,0,70
10,12,0,70
4,4,1,70
9,0,0,70
14,4,0,70
1,1,1,70
10,12,0,70
7,12,0,70
13,5,0,70
1,1,1,70
9,12,0,70
2,4,0,70
9,4,0,70
3,1,0,70
12,12,1,70
8,1,0,70
5,5,1,70
4,4,1,70
12,12,1,70
12,12,1,70
1,1,1,70
0,1,0,70
0,0,1,70
2,4,0,70
2,4,0,70
9,1,0,70
0,0,1,70
12,12,1,70
8,8,1,70
14,1,0,70
2,0,0,70
3,12,0,70
1,1,1,70
8,1,0,70
7,12,0,70
10,12,0,70
1,1,1,70
4,4,1,70
3,1,0,70
6,12,0,70
11,1,0,70
8,1,0,70
1,1,1,70
2,2,1,70
7,12,0,70
1,1,1,70
12,12,1,70
8,4,0,70
11,4,0,70
2,2,1,70
2,12,0,70
14,1,0,70
14,14,1,70
2,2,1,70
12,12,1,70
13,13,1,70
1,1,1,70
0,0,1,70
12,12,1,70
11,11,1,70
3,12,0,70
8,1,0,70
9,12,0,70
8,1,0,70
13,13,1,70
0,0,1,70
6,11,0,70
8,1,0,70
2,4,0,70
4,4,1,70
7,12,0,70
7,7,1,70
6,12,0,70
3,12,0,70
1,1,1,70
11,4,0,70
1,12,0,70
10,12,0,70
3,1,0,70
9,12,0,70
7,13,0,70
9,1,0,70
7,12,0,70
1,1,1,70
9,12,0,70
9,9,1,70
12,4,0,70
8,12,0,70
11,8,0,70
14,14,1,70
10,12,0,70
5,1,0,70
3,12,0,70
14,14,1,70
8,1,0,70
0,4,0,70
7,0,0,70
10,4,0,70
3,1,0,70
11,11,1,70
6,1,0,70
2,2,1,70
10,4,0,70
11,1,0,70
0,0,1,70
6,12,0,70
14,14,1,70
13,5,0,70
14,14,1,70
1,1,1,70
6,12,0,70
0,0,1,70
6,4,0,70
13,5,0,70
4,4,1,70
10,12,0,70
14,14,1,70
5,14,0,70
3,12,0,70
3,12,0,70
0,0,1,70
3,4,0,70
8,12,0,70
3,12,0,70
3,1,0,70
1,1,1,70
8,4,0,70
4,4,1,70
11,8,0,70
5,12,0,70
9,12,0,70
7,12,0,70
6,12,0,70
5,4,0,70
2,0,0,70
7,12,0,70
7,12,0,70
3,12,0,70
3,1,0,70
12,1,0,70
3,1,0,70
9,1,0,70
5,12,0,70
6,12,0,70
12,12,1,70
2,4,0,70
14,5,0,70
13,13,1,70
1,1,1,70
13,13,1,70
11,11,1,70
1,1,1,70
9,12,0,70
6,12,0,70
11,11,1,70
5,12,0,70
14,14,1,70
5,12,0,70
2,2,1,70
2,12,0,70
6,14,0,70
12,12,1,70
6,11,0,70
8,4,0,70
12,12,1,70
6,12,0,70
4,4,1,70
7,12,0,70
4,4,1,70
0,0,1,70
3,12,0,70
14,14,1,70
2,12,0,70
11,12,0,70
5,12,0,70
1,1,1,70
1,1,1,70
7,12,0,70
3,4,0,70
0,0,1,70
4,4,1,70
4,4,1,70
11,4,0,70
1,1,1,70
8,4,0,70
7,13,0,70
5,5,1,70
2,5,0,70
10,12,0,70
9,12,0,70
0,0,1,70
8,12,0,70
11,4,0,70
14,14,1,70
1,1,1,70
7,7,1,70
0,0,1,70
5,5,1,70
6,12,0,70
11,12,0,70
6,12,0,70
7,7,1,70
4,4,1,70
1,1,1,70
1,12,0,70
0,0,1,70
2,4,0,70
8,4,0,70
13,13,1,70
11,1,0,70
8,4,0,70
13,13,1,70
12,12,1,70
13,13,1,70
9,12,0,70
6,12,0,70
7,7,1,70
6,12,0,70
7,12,0,70
0,0,1,70
2,4,0,70
5,5,1,70
11,11,1,70
10,4,0,70
3,12,0,70
9,12,0,70
1,1,1,70
7,12,0,70
6,14,0,70
7,12,0,70
14,4,0,70
14,4,0,70
7,7,1,70
3,12,0,70
9,1,0,70
7,4,0,70
11,11,1,70
8,4,0,70
2,2,1,70
5,12,0,70
0,0,1,70
6,12,0,70
4,4,1,70
8,12,0,70
13,5,0,70
5,4,0,70
5,1,0,70
13,13,1,70
5,4,0,70
6,12,0,70
7,0,0,70
14,12,0,70
10,12,0,70
8,8,1,70
7,12,0,70
11,1,0,70
13,13,1,70
11,4,0,70
14,11,0,70
8,12,0,70
6,12,0,70
11,11,1,70
6,12,0,70
5,4,0,70
10,4,0,70
7,12,0,70
6,12,0,70
0,1,0,70
3,5,0,70
0,0,1,70
1,1,1,70
12,12,1,70
11,1,0,70
13,13,1,70
7,12,0,70
8,1,0,70
12,12,1,70
9,4,0,70
12,4,0,70
2,2,1,70
0,4,0,70
6,1,0,70
4,4,1,70
14,14,1,70
12,12,1,70
5,12,0,70
10,4,0,70
1,1,1,70
14,14,1,70
4,4,1,70
3,4,0,70
11,4,0,70
5,12,0,70
7,12,0,70
4,4,1,70
4,4,1,70
1,1,1,70
7,12,0,70
3,4,0,70
3,12,0,70
2,4,0,70
10,12,0,70
6,12,0,70
2,12,0,70
2,4,0,70
4,4,1,70
6,12,0,70
8,12,0,70
7,12,0,70
6,12,0,70
12,12,1,70
4,4,1,70
5,4,0,70
13,13,1,70
4,4,1,70
0,0,1,70
10,12,0,70
4,4,1,70
4,4,1,70
6,12,0,70
3,12,0,70
4,4,1,70
9,12,0,70
3,14,0,70
13,1,0,70
10,12,0,70
4,4,1,70
5,12,0,70
4,4,1,70
9,12,0,70
7,12,0,70
1,14,0,70
3,1,0,70
4,4,1,70
0,1,0,70
13,5,0,70
3,1,0,70
7,7,1,70
3,4,0,70
11,4,0,70
13,13,1,70
11,1,0,70
9,4,0,70
10,4,0,70
7,13,0,70
11,11,1,70
5,5,1,70
2,4,0,70
10,12,0,70
11,4,0,70
13,5,0,70
8,4,0,70
2,12,0,70
5,4,0,70
4,4,1,70
14,14,1,70
13,13,1,70
10,12,0,70
7,12,0,70
7,12,0,70
7,4,0,70
3,12,0,70
13,13,1,70
6,14,0,70
14,14,1,70
3,12,0,70
1,4,0,70
2,4,0,70
12,12,1,70
13,13,1,70
1,1,1,70
0,5,0,70
11,4,0,70
9,12,0,70
3,4,0,70
0,12,0,70
2,4,0,70
1,1,1,70
13,13,1,70
12,12,1,70
1,1,1,70
10,12,0,70
9,1,0,70
0,0,1,70
6,14,0,70
9,0,0,70
6,12,0,70
4,4,1,70
9,12,0,70
8,4,0,70
13,13,1,70
7,7,1,70
7,1,0,70
8,1,0,70
7,7,1,70
7,7,1,70
0,12,0,70
9,12,0,70
7,7,1,70
9,12,0,70
14,4,0,70
9,1,0,70
3,1,0,70
14,14,1,70
9,12,0,70
3,12,0,70
7,12,0,70
9,4,0,70
0,1,0,70
1,1,1,70
6,11,0,70
11,1,0,70
1,1,1,70
12,12,1,70
2,4,0,70
1,1,1,70
9,12,0,70
10,4,0,70
3,1,0,70
14,14,1,70
9,13,0,70
13,13,1,70
11,4,0,70
1,1,1,70
11,4,0,70
8,12,0,70
6,12,0,70
13,4,0,70
7,12,0,70
2,4,0,70
12,12,1,70
14,14,1,70
8,4,0,70
13,13,1,70
1,1,1,70
0,0,1,70
4,4,1,70
11,11,1,70
14,14,1,70
12,12,1,70
8,1,0,70
0,0,1,70
0,0,1,70
8,4,0,70
14,12,0,70
10,12,0,70
0,0,1,70
7,12,0,70
5,12,0,70
11,8,0,70
5,12,0,70
4,4,1,70
9,14,0,70
2,12,0,70
3,12,0,70
10,12,0,70
5,1,0,70
9,1,0,70
11,1,0,70
5,5,1,70
4,4,1,70
4,4,1,70
3,4,0,70
9,1,0,70
14,14,1,70
14,14,1,70
10,4,0,70
8,12,0,70
12,12,1,70
11,1,0,70
10,12,0,70
6,1,0,70
7,7,1,70
9,1,0,70
13,13,1,70
13,0,0,70
8,12,0,70
7,12,0,70
0,0,1,70
0,0,1,70
1,1,1,70
9,12,0,70
8,12,0,70
9,1,0,70
10,12,0,70
8,1,0,70
5,12,0,70
6,12,0,70
10,12,0,70
8,1,0,70
5,12,0,70
2,2,1,70
8,4,0,70
3,12,0,70
14,14,1,70
6,12,0,70
2,4,0,70
0,0,1,70
10,4,0,70
13,5,0,70
6,12,0,70
11,4,0,70
12,12,1,70
2,12,0,70
7,7,1,70
12,12,1,70
0,12,0,70
2,13,0,70
13,13,1,70
0,0,1,70
9,12,0,70
12,12,1,70
6,12,0,70
14,14,1,70
6,12,0,70
8,12,0,70
6,12,0,70
14,14,1,70
5,12,0,70
9,12,0,70
2,0,0,70
7,12,0,70
8,4,0,70
5,4,0,70
13,5,0,70
8,1,0,70
6,12,0,70
3,4,0,70
3,1,0,70
14,14,1,70
11,4,0,70
8,1,0,70
12,12,1,70
6,12,0,70
5,12,0,70
0,0,1,70
13,5,0,70
10,12,0,70
0,0,1,70
7,12,0,70
8,1,0,70
14,5,0,70
9,12,0,70
9,0,0,70
2,4,0,70
2,4,0,70
9,12,0,70
3,1,0,70
7,12,0,70
3,1,0,70
3,4,0,70
5,4,0,70
5,12,0,70
4,4,1,70
11,11,1,70
5,5,1,70
5,12,0,70
7,12,0,70
5,1,0,70
13,1,0,70
3,12,0,70
6,4,0,70
5,5,1,70
14,14,1,70
1,1,1,70
1,1,1,70
14,14,1,70
1,1,1,70
8,4,0,70
6,4,0,70
14,1,0,70
7,13,0,70
9,12,0,70
1,1,1,70
11,4,0,70
12,12,1,70
9,12,0,70
10,12,0,70
6,14,0,70
4,4,1,70
4,4,1,70
9,1,0,70
7,12,0,70
5,4,0,70
9,12,0,70
0,0,1,70
14,14,1,70
11,11,1,70
3,1,0,70
7,12,0,70
1,1,1,70
14,14,1,70
14,1,0,70
14,12,0,70
5,5,1,70
2,0,0,70
5,5,1,70
5,12,0,70
13,13,1,70
11,11,1,70
5,1,0,70
12,4,0,70
6,12,0,70
10,12,0,70
5,5,1,70
2,4,0,70
1,1,1,70
9,1,0,70
2,4,0,70
14,12,0,70
11,8,0,70
14,1,0,70
3,14,0,70
11,4,0,70
8,12,0,70
4,4,1,70
8,1,0,70
4,4,1,70
12,12,1,70
12,12,1,70
3,1,0,70
6,4,0,70
12,12,1,70
11,1,0,70
5,4,0,70
14,14,1,70
11,11,1,70
14,14,1,70
12,12,1,70
1,1,1,70
5,5,1,70
4,4,1,70
3,1,0,70
12,12,1,70
8,1,0,70
0,4,0,70
14,14,1,70
4,4,1,70
4,4,1,70
12,1,0,70
2,13,0,70
9,12,0,70
3,1,0,70
7,7,1,70
7,12,0,70
1,1,1,70
11,11,1,70
2,4,0,70
5,4,0,70
12,12,1,70
1,1,1,70
6,12,0,70
11,12,0,70
4,4,1,70
11,12,0,70
14,14,1,70
14,14,1,70
12,12,1,70
13,5,0,70
3,1,0,70
12,12,1,70
8,4,0,70
9,4,0,70
5,12,0,70
8,1,0,70
9,12,0,70
6,12,0,70
10,12,0,70
5,1,0,70
8,1,0,70
13,12,0,70
7,12,0,70
8,4,0,70
2,2,1,70
13,13,1,70
10,12,0,70
8,4,0,70
4,4,1,70
8,1,0,70
9,12,0,70
1,1,1,70
10,12,0,70
3,1,0,70
5,4,0,70
9,12,0,70
1,1,1,70
5,12,0,70
8,1,0,70
9,12,0,70
13,5,0,70
1,1,1,70
10,12,0,70
9,12,0,70
12,12,1,70
14,14,1,70
9,12,0,70
7,12,0,70
3,12,0,70
4,4,1,70
2,4,0,70
13,0,0,70
13,12,0,70
6,12,0,70
0,0,1,70
6,12,0,70
12,12,1,70
4,4,1,70
1,1,1,70
13,12,0,70
3,12,0,70
6,11,0,70
12,12,1,70
4,4,1,70
4,4,1,70
2,4,0,70
14,14,1,70
3,12,0,70
11,11,1,70
12,12,1,70
9,12,0,70
4,4,1,70
7,12,0,70
4,4,1,70
11,11,1,70
5,12,0,70
2,12,0,70
0,1,0,70
6,12,0,70
14,14,1,70
0,0,1,70
8,8,1,70
10,12,0,70
14,14,1,70
6,12,0,70
13,13,1,70
11,1,0,70
11,1,0,70
4,4,1,70
14,14,1,70
10,12,0,70
3,1,0,70
13,5,0,70
4,4,1,70
4,4,1,70
12,12,1,70
3,12,0,70
7,12,0,70
0,4,0,70
