t,p,tf,noise_percentage
14,4,0,100
14,4,0,100
7,4,0,100
5,4,0,100
11,12,0,100
14,1,0,100
6,4,0,100
1,4,0,100
4,4,1,100
14,4,0,100
8,4,0,100
7,12,0,100
5,12,0,100
13,4,0,100
6,4,0,100
7,4,0,100
9,4,0,100
13,12,0,100
7,4,0,100
0,4,0,100
3,4,0,100
0,12,0,100
7,4,0,100
14,4,0,100
13,4,0,100
12,12,1,100
12,12,1,100
11,4,0,100
6,4,0,100
10,4,0,100
4,4,1,100
0,4,0,100
5,12,0,100
7,4,0,100
8,4,0,100
7,4,0,100
2,4,0,100
3,12,0,100
7,4,0,100
10,4,0,100
11,4,0,100
5,4,0,100
2,9,0,100
0,4,0,100
7,4,0,100
5,12,0,100
3,12,0,100
6,12,0,100
14,12,0,100
7,4,0,100
14,12,0,100
0,4,0,100
11,4,0,100
7,4,0,100
10,4,0,100
4,4,1,100
5,4,0,100
7,12,0,100
2,12,0,100
8,4,0,100
14,4,0,100
10,4,0,100
2,12,0,100
0,4,0,100
8,4,0,100
7,4,0,100
14,1,0,100
8,4,0,100
12,4,0,100
14,12,0,100
13,4,0,100
1,4,0,100
5,12,0,100
2,4,0,100
12,12,1,100
14,1,0,100
14,4,0,100
1,4,0,100
4,4,1,100
9,4,0,100
5,12,0,100
11,4,0,100
0,1,0,100
12,12,1,100
4,4,1,100
1,4,0,100
1,4,0,100
0,4,0,100
0,1,0,100
1,4,0,100
14,12,0,100
8,4,0,100
13,4,0,100
8,4,0,100
6,4,0,100
9,4,0,100
5,12,0,100
7,4,0,100
7,4,0,100
6,4,0,100
12,4,0,100
8,4,0,100
8,4,0,100
0,1,0,100
4,4,1,100
13,4,0,100
3,12,0,100
11,12,0,100
13,4,0,100
5,4,0,100
4,4,1,100
4,4,1,100
6,4,0,100
0,4,0,100
14,1,0,100
9,4,0,100
2,4,0,100
13,1,0,100
11,12,0,100
10,4,0,100
5,4,0,100
6,4,0,100
12,12,1,100
11,12,0,100
9,4,0,100
12,12,1,100
14,4,0,100
4,4,1,100
14,1,0,100
12,4,0,100
9,4,0,100
11,4,0,100
0,4,0,100
0,4,0,100
12,4,0,100
0,4,0,100
7,4,0,100
2,12,0,100
10,4,0,100
8,4,0,100
1,4,0,100
13,12,0,100
3,4,0,100
3,4,0,100
4,4,1,100
2,12,0,100
1,4,0,100
6,4,0,100
6,12,0,100
14,12,0,100
5,4,0,100
6,4,0,100
10,4,0,100
9,4,0,100
3,4,0,100
1,4,0,100
0,1,0,100
4,4,1,100
5,12,0,100
13,4,0,100
4,4,1,100
11,4,0,100
10,4,0,100
12,4,0,100
9,4,0,100
13,4,0,100
8,1,0,100
4,4,1,100
5,4,0,100
0,1,0,100
6,12,0,100
0,1,0,100
2,4,0,100
6,12,0,100
6,4,0,100
5,4,0,100
3,4,0,100
7,4,0,100
1,4,0,100
6,4,0,100
0,1,0,100
10,4,0,100
8,4,0,100
2,12,0,100
8,4,0,100
3,12,0,100
1,4,0,100
1,4,0,100
10,4,0,100
12,12,1,100
1,4,0,100
8,4,0,100
12,12,1,100
3,4,0,100
5,4,0,100
2,12,0,100
5,12,0,100
10,4,0,100
2,12,0,100
1,4,0,100
11,4,0,100
10,4,0,100
6,12,0,100
3,4,0,100
13,4,0,100
2,12,0,100
11,12,0,100
6,4,0,100
9,12,0,100
14,4,0,100
6,4,0,100
5,12,0,100
9,4,0,100
8,4,0,100
14,12,0,100
2,4,0,100
5,4,0,100
7,4,0,100
6,12,0,100
2,4,0,100
4,4,1,100
11,4,0,100
12,12,1,100
0,12,0,100
11,11,1,100
9,4,0,100
4,4,1,100
13,12,0,100
7,4,0,100
0,1,0,100
0,1,0,100
14,1,0,100
12,12,1,100
11,4,0,100
8,4,0,100
6,12,0,100
13,12,0,100
12,4,0,100
14,1,0,100
2,12,0,100
5,4,0,100
0,4,0,100
1,4,0,100
14,4,0,100
2,4,0,100
6,12,0,100
1,9,0,100
5,4,0,100
8,4,0,100
7,4,0,100
9,4,0,100
14,1,0,100
12,12,1,100
9,1,0,100
11,12,0,100
5,4,0,100
12,4,0,100
4,4,1,100
8,4,0,100
2,12,0,100
12,4,0,100
9,4,0,100
1,4,0,100
4,4,1,100
14,4,0,100
5,12,0,100
9,4,0,100
14,1,0,100
9,4,0,100
11,4,0,100
13,12,0,100
4,4,1,100
0,12,0,100
3,4,0,100
3,4,0,100
1,4,0,100
0,4,0,100
12,4,0,100
6,4,0,100
5,12,0,100
12,12,1,100
5,4,0,100
1,4,0,100
2,4,0,100
10,4,0,100
1,4,0,100
9,12,0,100
8,4,0,100
0,1,0,100
2,4,0,100
2,4,0,100
0,4,0,100
6,12,0,100
4,4,1,100
12,12,1,100
14,1,0,100
5,4,0,100
11,4,0,100
8,4,0,100
9,4,0,100
12,4,0,100
10,12,0,100
8,4,0,100
10,4,0,100
8,4,0,100
13,4,0,100
4,4,1,100
6,4,0,100
13,12,0,100
14,12,0,100
10,12,0,100
10,4,0,100
6,4,0,100
1,4,0,100
10,4,0,100
1,4,0,100
14,1,0,100
2,12,0,100
14,4,0,100
10,12,0,100
13,4,0,100
2,12,0,100
6,4,0,100
4,4,1,100
13,4,0,100
13,4,0,100
14,4,0,100
2,4,0,100
8,4,0,100
9,12,0,100
4,4,1,100
8,4,0,100
3,4,0,100
0,4,0,100
8,4,0,100
6,12,0,100
10,4,0,100
14,12,0,100
6,12,0,100
11,4,0,100
8,4,0,100
4,4,1,100
0,1,0,100
3,4,0,100
0,1,0,100
8,4,0,100
2,4,0,100
10,4,0,100
12,4,0,100
13,1,0,100
1,4,0,100
2,4,0,100
14,1,0,100
13,12,0,100
10,4,0,100
9,4,0,100
7,4,0,100
11,4,0,100
14,1,0,100
8,4,0,100
10,4,0,100
10,4,0,100
7,4,0,100
0,4,0,100
7,12,0,100
13,4,0,100
6,4,0,100
0,12,0,100
0,1,0,100
2,4,0,100
4,4,1,100
7,4,0,100
11,4,0,100
4,4,1,100
12,12,1,100
6,4,0,100
13,4,0,100
8,4,0,100
2,4,0,100
14,12,0,100
9,4,0,100
5,4,0,100
13,12,0,100
0,1,0,100
12,4,0,100
10,4,0,100
3,1,0,100
13,4,0,100
11,4,0,100
10,4,0,100
12,12,1,100
9,4,0,100
12,12,1,100
5,4,0,100
4,4,1,100
1,4,0,100
2,4,0,100
10,4,0,100
6,4,0,100
2,4,0,100
11,4,0,100
10,4,0,100
11,4,0,100
10,4,0,100
7,4,0,100
4,4,1,100
6,4,0,100
5,12,0,100
11,12,0,100
1,4,0,100
5,4,0,100
6,4,0,100
1,4,0,100
4,4,1,100
3,4,0,100
6,4,0,100
11,4,0,100
5,12,0,100
12,12,1,100
10,4,0,100
9,4,0,100
3,4,0,100
12,4,0,100
3,4,0,100
7,4,0,100
8,4,0,100
5,4,0,100
9,4,0,100
10,12,0,100
12,12,1,100
4,4,1,100
10,4,0,100
3,4,0,100
4,4,1,100
7,12,0,100
7,12,0,100
8,4,0,100
4,4,1,100
9,4,0,100
13,4,0,100
6,4,0,100
3,1,0,100
2,12,0,100
3,12,0,100
14,4,0,100
6,12,0,100
12,4,0,100
5,12,0,100
6,12,0,100
14,4,0,100
14,12,0,100
0,12,0,100
9,4,0,100
5,4,0,100
0,1,0,100
2,4,0,100
3,4,0,100
1,4,0,100
8,4,0,100
10,12,0,100
10,12,0,100
4,4,1,100
2,12,0,100
6,4,0,100
7,4,0,100
10,12,0,100
9,4,0,100
13,4,0,100
0,4,0,100
14,12,0,100
4,12,0,100
13,4,0,100
8,4,0,100
10,4,0,100
8,4,0,100
8,12,0,100
11,4,0,100
4,4,1,100
0,12,0,100
14,4,0,100
5,4,0,100
7,4,0,100
7,4,0,100
9,4,0,100
8,4,0,100
5,4,0,100
5,12,0,100
11,4,0,100
1,4,0,100
11,4,0,100
10,12,0,100
11,4,0,100
4,4,1,100
10,4,0,100
9,12,0,100
5,12,0,100
5,4,0,100
14,1,0,100
8,4,0,100
11,12,0,100
14,12,0,100
4,4,1,100
5,12,0,100
9,4,0,100
14,12,0,100
14,4,0,100
8,4,0,100
14,1,0,100
5,12,0,100
10,4,0,100
6,4,0,100
1,4,0,100
9,12,0,100
2,4,0,100
3,4,0,100
5,4,0,100
6,4,0,100
5,12,0,100
11,4,0,100
13,4,0,100
14,1,0,100
5,12,0,100
9,4,0,100
14,4,0,100
4,4,1,100
4,4,1,100
4,4,1,100
3,4,0,100
10,4,0,100
0,1,0,100
5,4,0,100
12,12,1,100
6,4,0,100
3,4,0,100
13,4,0,100
13,4,0,100
2,12,0,100
12,12,1,100
1,4,0,100
1,4,0,100
14,12,0,100
11,4,0,100
10,4,0,100
4,4,1,100
6,12,0,100
9,4,0,100
12,4,0,100
11,4,0,100
0,1,0,100
5,12,0,100
4,4,1,100
10,4,0,100
12,4,0,100
3,4,0,100
9,4,0,100
2,12,0,100
3,1,0,100
13,12,0,100
11,4,0,100
2,4,0,100
13,12,0,100
7,12,0,100
13,11,0,100
2,4,0,100
7,4,0,100
10,12,0,100
14,4,0,100
1,4,0,100
3,1,0,100
8,4,0,100
13,12,0,100
1,4,0,100
9,4,0,100
1,4,0,100
3,12,0,100
6,12,0,100
1,4,0,100
4,4,1,100
0,1,0,100
13,12,0,100
13,4,0,100
5,4,0,100
5,12,0,100
6,4,0,100
7,4,0,100
14,4,0,100
10,4,0,100
0,4,0,100
2,12,0,100
5,12,0,100
0,4,0,100
0,4,0,100
8,4,0,100
14,12,0,100
9,12,0,100
6,12,0,100
4,4,1,100
11,4,0,100
14,12,0,100
4,4,1,100
14,4,0,100
14,12,0,100
13,12,0,100
12,4,0,100
13,12,0,100
0,4,0,100
7,4,0,100
2,4,0,100
6,4,0,100
11,12,0,100
14,4,0,100
7,4,0,100
1,4,0,100
10,4,0,100
2,9,0,100
10,4,0,100
7,4,0,100
0,1,0,100
4,12,0,100
7,12,0,100
13,12,0,100
7,4,0,100
9,4,0,100
14,4,0,100
3,4,0,100
13,12,0,100
10,4,0,100
10,12,0,100
7,4,0,100
10,4,0,100
14,4,0,100
14,4,0,100
13,4,0,100
4,4,1,100
4,4,1,100
2,4,0,100
2,12,0,100
12,12,1,100
8,4,0,100
4,4,1,100
8,4,0,100
7,4,0,100
6,12,0,100
4,4,1,100
6,4,0,100
10,12,0,100
8,4,0,100
5,4,0,100
4,4,1,100
11,4,0,100
7,4,0,100
14,4,0,100
11,12,0,100
4,4,1,100
4,4,1,100
8,4,0,100
9,4,0,100
2,12,0,100
11,4,0,100
8,4,0,100
5,4,0,100
8,4,0,100
6,4,0,100
2,12,0,100
9,4,0,100
4,4,1,100
0,4,0,100
7,12,0,100
14,12,0,100
13,4,0,100
12,4,0,100
4,4,1,100
12,4,0,100
2,12,0,100
0,4,0,100
1,4,0,100
7,4,0,100
9,4,0,100
9,12,0,100
8,4,0,100
2,12,0,100
9,12,0,100
12,12,1,100
10,12,0,100
4,12,0,100
13,4,0,100
11,4,0,100
11,12,0,100
0,1,0,100
4,4,1,100
13,4,0,100
0,4,0,100
7,4,0,100
10,4,0,100
11,12,0,100
1,4,0,100
1,4,0,100
2,12,0,100
2,12,0,100
0,12,0,100
5,4,0,100
9,4,0,100
5,4,0,100
6,4,0,100
9,4,0,100
6,4,0,100
8,4,0,100
12,12,1,100
7,4,0,100
3,4,0,100
13,12,0,100
2,4,0,100
7,4,0,100
5,4,0,100
2,12,0,100
13,4,0,100
5,4,0,100
11,4,0,100
7,4,0,100
4,12,0,100
7,4,0,100
3,4,0,100
6,4,0,100
8,4,0,100
9,4,0,100
2,4,0,100
8,4,0,100
9,4,0,100
10,4,0,100
13,12,0,100
12,12,1,100
2,4,0,100
5,12,0,100
4,4,1,100
8,4,0,100
9,4,0,100
4,4,1,100
6,12,0,100
5,4,0,100
7,4,0,100
3,4,0,100
3,4,0,100
10,4,0,100
11,12,0,100
5,4,0,100
1,4,0,100
3,4,0,100
3,4,0,100
9,4,0,100
11,4,0,100
0,12,0,100
2,12,0,100
5,4,0,100
11,12,0,100
13,4,0,100
10,4,0,100
7,4,0,100
12,12,1,100
13,4,0,100
12,4,0,100
1,4,0,100
4,4,1,100
6,4,0,100
0,1,0,100
9,4,0,100
3,4,0,100
12,4,0,100
10,4,0,100
8,4,0,100
1,4,0,100
6,12,0,100
13,4,0,100
8,4,0,100
12,12,1,100
5,4,0,100
13,4,0,100
2,4,0,100
4,12,0,100
8,4,0,100
5,4,0,100
4,4,1,100
12,12,1,100
5,4,0,100
3,4,0,100
7,4,0,100
2,12,0,100
0,1,0,100
5,4,0,100
2,12,0,100
10,12,0,100
5,4,0,100
0,1,0,100
8,4,0,100
2,12,0,100
4,4,1,100
9,1,0,100
4,4,1,100
11,4,0,100
13,12,0,100
1,4,0,100
14,1,0,100
8,4,0,100
2,4,0,100
9,4,0,100
9,4,0,100
14,12,0,100
3,4,0,100
3,4,0,100
12,12,1,100
12,12,1,100
9,4,0,100
0,1,0,100
6,4,0,100
12,12,1,100
8,4,0,100
10,4,0,100
9,4,0,100
13,4,0,100
10,12,0,100
14,4,0,100
3,4,0,100
0,1,0,100
1,4,0,100
5,12,0,100
1,4,0,100
8,4,0,100
13,12,0,100
5,4,0,100
9,12,0,100
8,4,0,100
5,4,0,100
11,4,0,100
2,4,0,100
14,4,0,100
14,4,0,100
5,4,0,100
12,4,0,100
5,12,0,100
2,4,0,100
2,12,0,100
1,4,0,100
12,12,1,100
13,12,0,100
2,12,0,100
2,4,0,100
3,4,0,100
4,4,1,100
10,4,0,100
9,4,0,100
11,12,0,100
2,4,0,100
8,4,0,100
10,4,0,100
9,4,0,100
9,12,0,100
6,12,0,100
8,4,0,100
6,4,0,100
6,4,0,100
4,4,1,100
11,12,0,100
3,4,0,100
11,4,0,100
4,4,1,100
8,4,0,100
2,12,0,100
10,12,0,100
14,4,0,100
4,12,0,100
11,4,0,100
12,4,0,100
2,4,0,100
9,4,0,100
7,4,0,100
12,12,1,100
0,4,0,100
1,4,0,100
2,12,0,100
14,12,0,100
12,12,1,100
12,12,1,100
12,12,1,100
3,4,0,100
2,4,0,100
7,4,0,100
8,4,0,100
5,12,0,100
8,4,0,100
14,1,0,100
1,4,0,100
13,4,0,100
5,12,0,100
3,12,0,100
9,4,0,100
14,1,0,100
0,4,0,100
8,4,0,100
3,4,0,100
1,4,0,100
2,4,0,100
7,4,0,100
4,4,1,100
8,4,0,100
6,4,0,100
3,4,0,100
2,12,0,100
13,12,0,100
7,4,0,100
9,4,0,100
3,12,0,100
9,4,0,100
11,4,0,100
13,4,0,100
1,4,0,100
5,4,0,100
14,4,0,100
6,4,0,100
10,4,0,100
3,4,0,100
10,4,0,100
8,4,0,100
12,12,1,100
13,4,0,100
11,4,0,100
9,4,0,100
12,12,1,100
1,4,0,100
3,1,0,100
6,4,0,100
9,12,0,100
2,12,0,100
11,4,0,100
6,4,0,100
11,4,0,100
11,4,0,100
14,4,0,100
0,4,0,100
14,4,0,100
0,4,0,100
3,1,0,100
5,12,0,100
8,4,0,100
8,4,0,100
0,4,0,100
13,4,0,100
12,4,0,100
8,4,0,100
6,4,0,100
9,4,0,100
3,4,0,100
11,4,0,100
10,4,0,100
13,4,0,100
13,4,0,100
0,1,0,100
3,1,0,100
14,4,0,100
2,4,0,100
5,12,0,100
13,4,0,100
0,4,0,100
6,4,0,100
6,4,0,100
9,12,0,100
13,12,0,100
4,12,0,100
4,4,1,100
8,4,0,100
2,12,0,100
9,4,0,100
13,12,0,100
7,4,0,100
0,4,0,100
7,4,0,100
11,4,0,100
1,12,0,100
3,1,0,100
10,4,0,100
3,4,0,100
9,4,0,100
9,4,0,100
7,4,0,100
1,4,0,100
9,4,0,100
7,12,0,100
1,4,0,100
1,4,0,100
7,4,0,100
7,4,0,100
9,4,0,100
5,12,0,100
9,12,0,100
3,4,0,100
8,4,0,100
0,12,0,100
9,4,0,100
2,4,0,100
9,4,0,100
9,4,0,100
0,4,0,100
7,12,0,100
9,12,0,100
8,4,0,100
7,4,0,100
8,4,0,100
2,4,0,100
7,12,0,100
12,12,1,100
4,4,1,100
11,1,0,100
14,4,0,100
14,4,0,100
0,4,0,100
13,12,0,100
6,4,0,100
11,12,0,100
3,12,0,100
2,4,0,100
2,12,0,100
13,12,0,100
7,12,0,100
11,4,0,100
14,4,0,100
4,4,1,100
1,4,0,100
7,4,0,100
5,4,0,100
1,4,0,100
0,12,0,100
1,4,0,100
12,12,1,100
10,4,0,100
3,4,0,100
7,4,0,100
14,1,0,100
10,4,0,100
14,12,0,100
4,4,1,100
11,4,0,100
11,12,0,100
13,12,0,100
7,4,0,100
6,12,0,100
12,4,0,100
7,4,0,100
6,12,0,100
14,12,0,100
7,4,0,100
2,4,0,100
8,4,0,100
3,4,0,100
7,4,0,100
8,4,0,100
8,4,0,100
10,4,0,100
4,4,1,100
7,4,0,100
8,1,0,100
8,4,0,100
5,4,0,100
13,4,0,100
11,4,0,100
10,4,0,100
7,4,0,100
3,4,0,100
2,4,0,100
2,4,0,100
10,12,0,100
3,4,0,100
11,12,0,100
3,4,0,100
10,12,0,100
1,4,0,100
2,4,0,100
13,12,0,100
5,4,0,100
10,4,0,100
5,4,0,100
14,1,0,100
8,4,0,100
1,4,0,100
12,12,1,100
9,4,0,100
5,12,0,100
3,12,0,100
3,12,0,100
11,4,0,100
2,4,0,100
1,4,0,100
12,4,0,100
14,12,0,100
2,4,0,100
6,4,0,100
0,4,0,100
13,12,0,100
6,4,0,100
3,4,0,100
5,4,0,100
3,4,0,100
6,12,0,100
3,4,0,100
11,4,0,100
10,4,0,100
1,4,0,100
0,4,0,100
12,12,1,100
13,4,0,100
8,4,0,100
4,4,1,100
8,4,0,100
1,12,0,100
4,4,1,100
10,4,0,100
11,12,0,100
3,4,0,100
14,1,0,100
10,12,0,100
11,4,0,100
14,1,0,100
11,4,0,100
0,4,0,100
13,4,0,100
14,12,0,100
11,4,0,100
7,4,0,100
14,1,0,100
6,12,0,100
8,4,0,100
4,4,1,100
7,12,0,100
12,4,0,100
10,12,0,100
0,1,0,100
0,4,0,100
7,4,0,100
10,4,0,100
3,12,0,100
12,4,0,100
8,4,0,100
13,12,0,100
5,12,0,100
2,12,0,100
10,12,0,100
4,4,1,100
3,12,0,100
8,4,0,100
0,4,0,100
6,4,0,100
6,4,0,100
7,4,0,100
13,12,0,100
2,4,0,100
2,4,0,100
0,4,0,100
10,4,0,100
5,4,0,100
3,12,0,100
1,4,0,100
0,1,0,100
5,4,0,100
7,4,0,100
3,4,0,100
8,4,0,100
7,4,0,100
9,4,0,100
6,4,0,100
0,1,0,100
7,12,0,100
1,4,0,100
1,4,0,100
11,4,0,100
13,4,0,100
7,4,0,100
4,4,1,100
4,4,1,100
13,4,0,100
6,4,0,100
4,4,1,100
0,1,0,100
11,4,0,100
5,12,0,100
3,4,0,100
0,4,0,100
11,4,0,100
5,12,0,100
0,4,0,100
11,4,0,100
12,12,1,100
2,9,0,100
6,12,0,100
6,4,0,100
12,4,0,100
7,12,0,100
1,4,0,100
0,1,0,100
11,4,0,100
14,1,0,100
12,4,0,100
6,4,0,100
10,12,0,100
2,4,0,100
12,4,0,100
3,4,0,100
2,4,0,100
0,1,0,100
3,4,0,100
8,4,0,100
0,1,0,100
11,11,1,100
12,12,1,100
6,4,0,100
13,4,0,100
4,12,0,100
2,4,0,100
5,4,0,100
4,12,0,100
6,4,0,100
10,4,0,100
1,4,0,100
9,4,0,100
8,4,0,100
9,4,0,100
8,4,0,100
2,4,0,100
12,12,1,100
3,4,0,100
8,4,0,100
9,4,0,100
11,4,0,100
7,4,0,100
3,4,0,100
7,4,0,100
3,4,0,100
7,4,0,100
14,4,0,100
14,1,0,100
1,4,0,100
13,4,0,100
6,12,0,100
5,12,0,100
0,1,0,100
6,4,0,100
3,4,0,100
3,4,0,100
10,4,0,100
10,4,0,100
3,12,0,100
9,12,0,100
14,4,0,100
2,4,0,100
8,4,0,100
6,4,0,100
12,12,1,100
9,4,0,100
